Ticker,Title,Compound Score
BSCO,State Street Debuts Active Target Maturity Bond ETFs,0.4019
BSCO,"Sentinel Pension Advisors Inc Buys Invesco BulletShares 2024 Corporate Bond ETF, Focus ...",0.0
BSCO,"Strategic Family Wealth Counselors, L.L.C. ...",0.4939
BSCO,"Sculati Wealth Management, LLC Buys Invesco BulletShares 2023 Corporate Bond ETF, Invesco ...",0.4939
BSCO,"Advisory Alpha, LLC Buys Consumer Staples Select Sector SPDR, SPDR Portfolio Short Term ...",0.0
BSCO,"Tlwm Buys PowerShares QQQ Trust Ser 1, Invesco BulletShares 2026 Corporate Bond ETF, iShares ...",0.5106
BSCO,"Greatmark Investment Partners, Inc. Buys Amgen Inc, Invesco BulletShares 2023 Corporate Bond ...",0.0
BSCO,Cozad Asset Management Inc Buys First Trust Lunt U.S. ...,0.7003
BSCO,"Exchange Capital Management, Inc. Buys Invesco BulletShares 2023 Corporate Bond ETF, SPDR ...",0.0
BSCO,"Well Done, LLC Buys iShares Commodities Select Strategy ETF, SPDR Oil & Gas Exploration and ...",0.4588
BSCO,"Asset Dedication, LLC Buys Invesco BulletShares 2026 Corporate Bond ETF, Invesco BulletShares ...",0.3612
BSCO,"Edge Wealth Management LLC Buys SPDR Biotech ETF, Salesforce. ...",0.4939
BSCO,"Blossom Wealth Management Buys Invesco BulletShares 2023 Corporate Bond ETF, iShares Gold ...",0.4939
BSCO,"Hudock, Inc. Buys Lockheed Martin Corp, Dominion Energy Inc, VanEck Vectors Semiconductor ETF, ...",0.2732
BSCO,"Edge Wealth Management LLC Buys SPDR Biotech ETF, Salesforce. ...",0.4939
BSCO,"RVW Wealth, LLC Buys iShares ESG Screened S&P Mid-Cap ETF, iShares iBonds Dec 2026 Term ...",0.4939
BSCO,Legacy Private Trust Co. Buys iShares Core S&P Total U.S. ...,0.5106
BSCO,"RVW Wealth, LLC Buys iShares ESG Screened S&P Mid-Cap ETF, iShares iBonds Dec 2026 Term ...",0.4939
BSCO,Invesco Provides Estimated Capital Gain Distribution Information for 2021,0.5267
BSCO,Fed begins purchasing corporate-bond ETFs,0.0
BSCO,Invesco ETFs Announces Listing Transfer for 22 ETFs,0.0
BSCO,Guggenheim Investments Exchange Traded Funds Declare Monthly Distributions,0.0
BSCO,Guggenheim Investments Exchange Traded Funds Declare Monthly Distributions,0.0
BSCO,Guggenheim Investments Exchange Traded Funds Declare Monthly Distributions,0.0
BSCO,Guggenheim Investments Exchange Traded Funds Declare Monthly Distributions,0.0
BSCO,Guggenheim Investments Exchange Traded Funds Declare Monthly Distributions,0.0
BSCO,Guggenheim Investments Exchange Traded Funds Declare Monthly Distributions,0.0
BSCO,Guggenheim Investments Exchange Traded Funds Declare Monthly Distributions,0.0
